Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E04,,,,,,,,,,,,,,
Date:,5/20/2015,,,,,,,,,,,,,,
Time (ADST):,16:16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.601,1.585,0.051377,-0.0301,0.4747,0.2303,144.1766,12.9836,,,,,,,,
1.635,1.618,0.046449,-0.0295,0.4273,0.1914,150.646,12.9846,,,,,,,,
1.668,1.652,0.036871,-0.0282,0.3358,0.1166,155.6887,12.9927,,,,,,,,
1.703,1.686,0.02969,-0.0273,0.2679,0.0609,160.2576,12.9909,,,,,,,,
1.736,1.718,0.025818,-0.0271,0.2314,0.0311,164.8978,12.9908,,,,,,,,
1.768,1.749,0.024031,-0.0272,0.2148,0.0173,171.1585,12.9881,,,,,,,,
1.797,1.78,0.023359,-0.0273,0.2085,0.0122,176.2359,12.9925,,,,,,,,
1.827,1.808,0.023114,-0.0275,0.2062,0.0103,181.5141,12.9857,,,,,,,,
1.855,1.836,0.023025,-0.0277,0.2054,0.0095,185.5115,12.9976,,,,,,,,
1.882,1.863,0.022992,-0.0278,0.2051,0.0093,184.9732,12.9974,,,,,,,,
1.908,1.889,0.022981,-0.0277,0.205,0.0092,185.4854,12.9922,,,,,,,,
1.934,1.914,0.022977,-0.0277,0.2049,0.0092,190.0535,12.9889,,,,,,,,
1.965,1.945,0.022975,-0.0277,0.2049,0.0092,193.2451,12.9911,,,,,,,,
2,1.981,0.022973,-0.0275,0.2049,0.0092,190.7069,12.9978,,,,,,,,
2.039,2.018,0.022973,-0.0272,0.2049,0.0092,185.2061,12.9938,,,,,,,,
2.079,2.058,0.022974,-0.027,0.2049,0.0092,179.5958,13.0026,,,,,,,,
2.114,2.093,0.022971,-0.027,0.2049,0.0092,177.7482,12.9888,,,,,,,,
2.14,2.119,0.022964,-0.0273,0.2048,0.0091,177.1267,12.9894,,,,,,,,
2.162,2.14,0.022956,-0.0279,0.2047,0.009,173.2273,12.9934,,,,,,,,
2.186,2.164,0.022949,-0.0287,0.2047,0.0089,169.3647,12.9956,,,,,,,,
2.213,2.191,0.022942,-0.0291,0.2046,0.0089,166.447,12.9921,,,,,,,,
2.241,2.218,0.022935,-0.0294,0.2046,0.0088,163.9081,12.9919,,,,,,,,
2.268,2.245,0.022929,-0.0296,0.2045,0.0087,162.4816,12.9971,,,,,,,,
2.293,2.271,0.022924,-0.0299,0.2044,0.0086,160.844,12.9923,,,,,,,,
2.322,2.298,0.022917,-0.0303,0.2044,0.0086,158.5697,12.9934,,,,,,,,
2.354,2.33,0.022914,-0.0306,0.2044,0.0085,156.3185,12.9961,,,,,,,,
2.39,2.366,0.022912,-0.0308,0.2044,0.0085,153.7456,12.9919,,,,,,,,
