Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E10,,,,,,,,,,,,,,
Date:,5/23/2015,,,,,,,,,,,,,,
Time (ADST):,18:03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
4.29,4.247,0.041538,-0.0297,0.3802,0.1528,191.307,11.7684,,,,,,,,
4.333,4.289,0.041682,-0.0299,0.3816,0.154,189.141,11.7737,,,,,,,,
4.377,4.333,0.041896,-0.0304,0.3837,0.1557,187.6947,11.7808,,,,,,,,
4.419,4.374,0.04219,-0.0309,0.3865,0.1579,185.24,11.7817,,,,,,,,
4.458,4.414,0.04238,-0.0311,0.3883,0.1594,183.6141,11.7903,,,,,,,,
4.495,4.45,0.042408,-0.0311,0.3886,0.1596,182.0097,11.8001,,,,,,,,
4.534,4.489,0.042472,-0.0309,0.3892,0.1601,180.81,11.7967,,,,,,,,
4.576,4.531,0.042763,-0.0315,0.392,0.1623,180.3467,11.8108,,,,,,,,
4.622,4.575,0.043235,-0.032,0.3965,0.166,180.9516,11.8101,,,,,,,,
4.668,4.62,0.043441,-0.0321,0.3985,0.1676,184.1087,11.8178,,,,,,,,
4.714,4.666,0.043439,-0.0319,0.3984,0.1676,187.3946,11.8193,,,,,,,,
4.759,4.711,0.043292,-0.0314,0.3971,0.1665,190.9859,11.8318,,,,,,,,
4.805,4.755,0.043182,-0.0309,0.396,0.1656,195.8052,11.8382,,,,,,,,
4.851,4.801,0.043318,-0.0309,0.3972,0.1667,198.3363,11.8431,,,,,,,,
4.899,4.849,0.043873,-0.0312,0.4026,0.1711,197.5639,11.8508,,,,,,,,
4.949,4.899,0.044576,-0.0319,0.4093,0.1765,196.7561,11.8613,,,,,,,,
5.001,4.95,0.045556,-0.033,0.4187,0.1841,194.4888,11.8696,,,,,,,,
5.055,5.004,0.046624,-0.0346,0.429,0.1925,191.8768,11.8784,,,,,,,,
5.112,5.059,0.048287,-0.0364,0.445,0.2055,189.6425,11.8858,,,,,,,,
5.168,5.116,0.050239,-0.0382,0.4638,0.2208,187.2674,11.8926,,,,,,,,
