Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W05,,,,,,,,,,,,,,
Date:,5/19/2015,,,,,,,,,,,,,,
Time (ADST):,12:36,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.587,1.571,2.631265,-1.7847,33.3192,26.8139,7.8938,11.884,,,,,,,,
1.623,1.606,2.632397,-1.7881,33.3387,26.8299,9.1338,11.8781,,,,,,,,
1.656,1.639,2.633239,-1.7912,33.3539,26.8423,10.2884,11.8759,,,,,,,,
1.688,1.671,2.633982,-1.7946,33.368,26.8539,10.4249,11.8688,,,,,,,,
1.718,1.701,2.63436,-1.7983,33.3775,26.8617,8.9747,11.8653,,,,,,,,
1.75,1.732,2.634706,-1.8011,33.3854,26.8682,5.9907,11.8604,,,,,,,,
1.783,1.765,2.635062,-1.8026,33.392,26.8736,3.1317,11.8568,,,,,,,,
1.812,1.794,2.635172,-1.8037,33.3948,26.8759,1.7481,11.8539,,,,,,,,
1.839,1.82,2.635171,-1.8054,33.3967,26.8775,1.2463,11.8493,,,,,,,,
1.865,1.845,2.635406,-1.807,33.4019,26.8817,1.0919,11.8421,,,,,,,,
1.89,1.871,2.635645,-1.8079,33.4061,26.8852,1.053,11.839,,,,,,,,
1.918,1.898,2.635882,-1.8079,33.4095,26.8879,1.0102,11.837,,,,,,,,
1.945,1.925,2.636209,-1.8072,33.4132,26.891,0.9732,11.829,,,,,,,,
1.972,1.952,2.636538,-1.8066,33.4171,26.8941,0.9965,11.8283,,,,,,,,
1.997,1.977,2.636941,-1.8056,33.4215,26.8976,1.0251,11.8255,,,,,,,,
2.024,2.004,2.637427,-1.8042,33.4267,26.9019,1.0484,11.822,,,,,,,,
2.055,2.034,2.637824,-1.8032,33.4311,26.9053,1.0505,11.8147,,,,,,,,
2.085,2.064,2.637968,-1.8026,33.4325,26.9065,1.0588,11.8136,,,,,,,,
2.114,2.093,2.637869,-1.8038,33.4323,26.9064,1.0163,11.8113,,,,,,,,
2.144,2.122,2.637874,-1.8059,33.4348,26.9084,0.9724,11.8086,,,,,,,,
2.175,2.153,2.637943,-1.8068,33.4368,26.9101,0.9862,11.8052,,,,,,,,
2.206,2.184,2.638146,-1.8066,33.4394,26.9122,0.9851,11.8052,,,,,,,,
2.235,2.212,2.638412,-1.8062,33.4425,26.9148,1.0077,11.7997,,,,,,,,
2.26,2.237,2.638621,-1.8066,33.4459,26.9175,1.0491,11.8011,,,,,,,,
2.283,2.26,2.638711,-1.8075,33.4481,26.9194,1.0593,11.7975,,,,,,,,
2.307,2.284,2.638717,-1.8073,33.4479,26.9192,1.0466,11.7951,,,,,,,,
2.332,2.308,2.639006,-1.8055,33.45,26.9208,1.0193,11.7915,,,,,,,,
2.359,2.335,2.639546,-1.8028,33.4545,26.9244,0.987,11.7851,,,,,,,,
2.39,2.366,2.640248,-1.8003,33.4614,26.9299,0.9807,11.7828,,,,,,,,
2.42,2.396,2.640856,-1.7984,33.4678,26.9351,0.9654,11.7791,,,,,,,,
2.45,2.425,2.641151,-1.7986,33.472,26.9386,0.9713,11.7803,,,,,,,,
2.482,2.457,2.641375,-1.7999,33.4766,26.9423,1.0318,11.7777,,,,,,,,
2.517,2.492,2.641961,-1.7994,33.4842,26.9485,1.0926,11.7785,,,,,,,,
2.553,2.527,2.642544,-1.7976,33.4902,26.9533,1.1051,11.7781,,,,,,,,
2.585,2.559,2.642926,-1.7969,33.4949,26.9571,1.07,11.775,,,,,,,,
2.612,2.586,2.643248,-1.7975,33.4999,26.9612,1.0922,11.7738,,,,,,,,
2.636,2.61,2.643491,-1.7986,33.5045,26.965,1.1407,11.7723,,,,,,,,
2.66,2.633,2.643771,-1.7991,33.509,26.9686,1.1177,11.7734,,,,,,,,
2.686,2.659,2.644003,-1.7987,33.5117,26.9708,1.0517,11.7731,,,,,,,,
2.713,2.686,2.644125,-1.7981,33.5127,26.9717,1.0044,11.7749,,,,,,,,
2.741,2.713,2.644258,-1.7976,33.5139,26.9727,0.9772,11.7713,,,,,,,,
2.769,2.74,2.644426,-1.7965,33.5151,26.9736,0.9635,11.7706,,,,,,,,
2.797,2.769,2.64446,-1.7965,33.5156,26.9739,0.9719,11.7695,,,,,,,,
2.827,2.798,2.644472,-1.7967,33.516,26.9742,1.0311,11.7676,,,,,,,,
2.862,2.833,2.644554,-1.7965,33.5169,26.975,1.1018,11.7732,,,,,,,,
2.894,2.865,2.644644,-1.7963,33.5179,26.9759,1.1085,11.7682,,,,,,,,
2.926,2.896,2.644621,-1.7974,33.5187,26.9765,1.1004,11.768,,,,,,,,
2.958,2.928,2.644448,-1.7994,33.5186,26.9764,1.0792,11.7716,,,,,,,,
2.992,2.962,2.64443,-1.8001,33.5191,26.9768,1.0569,11.7735,,,,,,,,
3.026,2.995,2.644575,-1.7994,33.5203,26.9779,1.0657,11.7716,,,,,,,,
3.057,3.026,2.644606,-1.7996,33.5209,26.9784,1.0808,11.7707,,,,,,,,
3.083,3.052,2.644446,-1.8011,33.5204,26.9779,1.0465,11.7729,,,,,,,,
3.106,3.074,2.644261,-1.8035,33.5204,26.9781,1.035,11.7702,,,,,,,,
3.128,3.096,2.644178,-1.8047,33.5208,26.9783,1.0701,11.7686,,,,,,,,
3.153,3.121,2.644237,-1.8043,33.5211,26.9785,1.1272,11.7725,,,,,,,,
3.18,3.148,2.644363,-1.8029,33.5212,26.9787,1.1506,11.771,,,,,,,,
3.208,3.175,2.644506,-1.8017,33.5218,26.9791,1.1549,11.7711,,,,,,,,
3.232,3.2,2.644674,-1.8007,33.523,26.9801,1.1167,11.7691,,,,,,,,
3.256,3.223,2.644882,-1.7993,33.5243,26.9811,1.11,11.7677,,,,,,,,
3.278,3.245,2.645024,-1.7976,33.5244,26.9811,1.104,11.7666,,,,,,,,
3.304,3.27,2.645221,-1.7955,33.5247,26.9813,1.0909,11.7648,,,,,,,,
3.332,3.298,2.645611,-1.7925,33.5267,26.9828,1.0735,11.7674,,,,,,,,
3.362,3.327,2.645878,-1.7904,33.5281,26.984,1.0769,11.7636,,,,,,,,
3.391,3.357,2.645911,-1.7906,33.5288,26.9845,1.0901,11.7642,,,,,,,,
3.421,3.386,2.64575,-1.7928,33.529,26.9847,1.1068,11.766,,,,,,,,
3.45,3.415,2.64561,-1.7954,33.5299,26.9856,1.1214,11.7664,,,,,,,,
3.482,3.447,2.645523,-1.7969,33.5305,26.986,1.1215,11.7683,,,,,,,,
3.515,3.479,2.645696,-1.7958,33.5315,26.9868,1.104,11.7683,,,,,,,,
3.547,3.511,2.645734,-1.7948,33.531,26.9864,1.1134,11.7691,,,,,,,,
3.575,3.539,2.645416,-1.7973,33.5294,26.9851,1.1299,11.7686,,,,,,,,
3.6,3.563,2.645165,-1.801,33.5299,26.9857,1.147,11.7661,,,,,,,,
3.625,3.588,2.644976,-1.803,33.5297,26.9855,1.1495,11.7703,,,,,,,,
3.654,3.617,2.644921,-1.8032,33.529,26.985,1.145,11.7676,,,,,,,,
3.684,3.647,2.645226,-1.8003,33.53,26.9857,1.153,11.7688,,,,,,,,
3.716,3.678,2.645543,-1.7969,33.5305,26.986,1.166,11.7671,,,,,,,,
3.748,3.71,2.645636,-1.7962,33.5311,26.9865,1.1595,11.7655,,,,,,,,
3.777,3.739,2.645642,-1.7973,33.5323,26.9875,1.1569,11.7633,,,,,,,,
3.806,3.768,2.64569,-1.7978,33.5336,26.9886,1.1619,11.7637,,,,,,,,
3.837,3.798,2.645752,-1.7976,33.5342,26.9891,1.163,11.7639,,,,,,,,
3.869,3.83,2.645861,-1.7971,33.535,26.9898,1.16,11.7642,,,,,,,,
3.902,3.863,2.646018,-1.7956,33.5355,26.9901,1.1663,11.7644,,,,,,,,
3.936,3.896,2.646179,-1.7939,33.5359,26.9903,1.1446,11.76,,,,,,,,
3.965,3.925,2.646231,-1.7935,33.5361,26.9905,1.1168,11.7598,,,,,,,,
3.992,3.952,2.646112,-1.7944,33.5354,26.99,1.0819,11.7598,,,,,,,,
4.023,3.982,2.645983,-1.7955,33.5349,26.9896,1.0863,11.761,,,,,,,,
4.057,4.016,2.646136,-1.7947,33.5361,26.9906,1.1286,11.7588,,,,,,,,
4.093,4.051,2.646406,-1.7927,33.5375,26.9917,1.1487,11.7568,,,,,,,,
4.127,4.085,2.646495,-1.7916,33.5375,26.9917,1.1675,11.7593,,,,,,,,
4.16,4.118,2.646425,-1.7923,33.5374,26.9915,1.1397,11.7596,,,,,,,,
4.191,4.149,2.646421,-1.7929,33.538,26.992,1.1159,11.7572,,,,,,,,
4.223,4.181,2.646464,-1.7929,33.5386,26.9926,1.0962,11.7573,,,,,,,,
4.259,4.216,2.646539,-1.7925,33.5391,26.993,1.0737,11.7564,,,,,,,,
4.294,4.251,2.646676,-1.7917,33.5401,26.9937,1.1139,11.7553,,,,,,,,
4.326,4.283,2.646638,-1.7923,33.5403,26.9939,1.1549,11.7563,,,,,,,,
4.356,4.312,2.646496,-1.7942,33.5403,26.994,1.1471,11.7545,,,,,,,,
4.386,4.341,2.646364,-1.7958,33.5403,26.994,1.1226,11.7556,,,,,,,,
4.421,4.376,2.646406,-1.7962,33.5413,26.9949,1.1152,11.7539,,,,,,,,
4.456,4.41,2.646686,-1.7951,33.544,26.9969,1.1182,11.7556,,,,,,,,
4.486,4.441,2.646932,-1.7933,33.5452,26.998,1.1445,11.7549,,,,,,,,
4.517,4.47,2.646964,-1.7923,33.5446,26.9974,1.1522,11.758,,,,,,,,
4.549,4.503,2.647043,-1.7906,33.5438,26.9967,1.1589,11.7519,,,,,,,,
4.585,4.539,2.647474,-1.7858,33.5444,26.9971,1.1858,11.7504,,,,,,,,
4.622,4.575,2.647871,-1.7817,33.5452,26.9977,1.173,11.7504,,,,,,,,
4.656,4.609,2.648023,-1.7813,33.5468,26.999,1.1345,11.7504,,,,,,,,
4.69,4.642,2.647942,-1.7835,33.5481,27.0001,1.1632,11.7514,,,,,,,,
4.724,4.676,2.647844,-1.7854,33.5489,27.0008,1.1699,11.751,,,,,,,,
4.759,4.711,2.647861,-1.7858,33.5497,27.0014,1.1584,11.752,,,,,,,,
4.789,4.74,2.64762,-1.7879,33.5487,27.0006,1.1499,11.7508,,,,,,,,
4.814,4.765,2.647194,-1.7928,33.5482,27.0004,1.1563,11.7558,,,,,,,,
4.84,4.79,2.6469,-1.7963,33.5481,27.0003,1.1622,11.754,,,,,,,,
4.869,4.819,2.647007,-1.7958,33.5489,27.0011,1.1342,11.7544,,,,,,,,
4.899,4.849,2.647498,-1.7922,33.5517,27.0032,1.1028,11.7503,,,,,,,,
4.931,4.88,2.647846,-1.7891,33.5531,27.0042,1.1409,11.7532,,,,,,,,
4.96,4.91,2.647941,-1.7883,33.5535,27.0046,1.1886,11.7486,,,,,,,,
4.987,4.937,2.64792,-1.7892,33.5541,27.005,1.1855,11.7432,,,,,,,,
5.013,4.962,2.647798,-1.7905,33.5539,27.005,1.1578,11.7412,,,,,,,,
5.041,4.99,2.647755,-1.7908,33.5536,27.0046,1.1705,11.7436,,,,,,,,
5.072,5.021,2.647799,-1.7897,33.5529,27.0041,1.1894,11.7485,,,,,,,,
5.103,5.05,2.647659,-1.7895,33.5507,27.0024,1.172,11.7464,,,,,,,,
5.132,5.08,2.647479,-1.7905,33.5494,27.0012,1.1486,11.7471,,,,,,,,
5.156,5.104,2.647295,-1.7936,33.5503,27.0021,1.1463,11.7502,,,,,,,,
5.179,5.127,2.647202,-1.7965,33.5524,27.0039,1.1725,11.7481,,,,,,,,
5.205,5.152,2.647366,-1.7957,33.5536,27.0048,1.1857,11.7478,,,,,,,,
5.233,5.181,2.64789,-1.791,33.5555,27.0063,1.1409,11.7475,,,,,,,,
5.264,5.21,2.64824,-1.7868,33.5557,27.0063,1.0868,11.7408,,,,,,,,
5.293,5.239,2.648373,-1.786,33.5567,27.0071,1.0689,11.7426,,,,,,,,
5.318,5.264,2.648384,-1.7883,33.5594,27.0095,1.051,11.7461,,,,,,,,
5.341,5.287,2.648085,-1.7926,33.5601,27.01,1.103,11.743,,,,,,,,
5.364,5.31,2.647906,-1.7959,33.5613,27.011,1.1698,11.7456,,,,,,,,
5.39,5.335,2.647999,-1.7959,33.5626,27.0121,1.2134,11.745,,,,,,,,
5.417,5.362,2.648259,-1.7933,33.5632,27.0126,1.2135,11.7439,,,,,,,,
5.445,5.39,2.648381,-1.7915,33.563,27.0123,1.1964,11.7433,,,,,,,,
5.47,5.415,2.648344,-1.7915,33.5623,27.0119,1.2064,11.74,,,,,,,,
5.492,5.436,2.648242,-1.7927,33.5622,27.0117,1.1549,11.7454,,,,,,,,
5.512,5.457,2.648036,-1.7963,33.5635,27.0129,1.1081,11.7395,,,,,,,,
5.535,5.479,2.648007,-1.7989,33.5661,27.015,1.0628,11.7454,,,,,,,,
5.561,5.505,2.64819,-1.7982,33.5679,27.0164,1.0516,11.7427,,,,,,,,
5.588,5.531,2.648281,-1.7967,33.5673,27.016,1.0796,11.7455,,,,,,,,
5.614,5.558,2.648237,-1.7965,33.5664,27.0152,1.1187,11.7428,,,,,,,,
5.639,5.582,2.648211,-1.7977,33.5675,27.0162,1.1352,11.7411,,,,,,,,
5.659,5.603,2.648239,-1.7994,33.5697,27.0179,1.1347,11.7411,,,,,,,,
5.682,5.624,2.648365,-1.7997,33.5718,27.0198,1.1391,11.7398,,,,,,,,
5.708,5.65,2.648655,-1.7967,33.5725,27.0202,1.1242,11.7394,,,,,,,,
5.736,5.678,2.648978,-1.7921,33.5718,27.0195,1.1108,11.7358,,,,,,,,
5.762,5.704,2.648997,-1.7917,33.5714,27.0193,1.1418,11.7377,,,,,,,,
5.785,5.726,2.649006,-1.7935,33.5736,27.021,1.1501,11.7374,,,,,,,,
5.805,5.746,2.649076,-1.7946,33.576,27.023,1.1388,11.7374,,,,,,,,
5.828,5.769,2.649053,-1.7953,33.5763,27.0233,1.1285,11.7342,,,,,,,,
5.854,5.795,2.649061,-1.7953,33.5764,27.0233,1.1274,11.7365,,,,,,,,
5.882,5.822,2.64921,-1.7935,33.5765,27.0234,1.1236,11.7341,,,,,,,,
5.909,5.848,2.649541,-1.79,33.5771,27.0239,1.1382,11.7345,,,,,,,,
5.933,5.873,2.6495,-1.7914,33.578,27.0245,1.142,11.734,,,,,,,,
5.958,5.899,2.649182,-1.7978,33.5808,27.027,1.1373,11.74,,,,,,,,
5.985,5.924,2.649047,-1.8018,33.5834,27.0292,1.1501,11.7395,,,,,,,,
6.014,5.953,2.649048,-1.8024,33.5842,27.0299,1.1367,11.7428,,,,,,,,
6.042,5.981,2.649172,-1.8011,33.5844,27.03,1.1286,11.7393,,,,,,,,
6.067,6.006,2.649485,-1.7987,33.5861,27.0313,1.1635,11.7401,,,,,,,,
6.092,6.03,2.649799,-1.7968,33.5883,27.033,1.2154,11.7339,,,,,,,,
6.117,6.055,2.64988,-1.7967,33.5893,27.0339,1.2175,11.7356,,,,,,,,
6.143,6.082,2.649817,-1.7982,33.59,27.0346,1.2215,11.7335,,,,,,,,
6.168,6.105,2.649855,-1.7983,33.5908,27.035,1.2141,11.7325,,,,,,,,
