Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W05,,,,,,,,,,,,,,
Date:,5/18/2015,,,,,,,,,,,,,,
Time (ADST):,16:12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.598,1.582,2.628858,-1.7954,33.2976,26.7967,6.7701,11.8143,,,,,,,,
1.646,1.629,2.628932,-1.7976,33.3011,26.7995,7.1331,11.8119,,,,,,,,
1.693,1.676,2.628903,-1.7993,33.3025,26.8008,6.1429,11.8068,,,,,,,,
1.738,1.72,2.62883,-1.8007,33.3032,26.8013,3.4485,11.8045,,,,,,,,
1.781,1.763,2.628701,-1.8026,33.3034,26.8015,1.9077,11.7985,,,,,,,,
1.823,1.805,2.628499,-1.8051,33.3034,26.8015,1.3458,11.7972,,,,,,,,
1.865,1.847,2.62838,-1.8068,33.3036,26.8017,1.1354,11.7953,,,,,,,,
1.907,1.888,2.628316,-1.8079,33.304,26.8021,1.0267,11.7927,,,,,,,,
1.947,1.927,2.628238,-1.8091,33.3042,26.8023,0.9785,11.7883,,,,,,,,
1.987,1.967,2.628219,-1.8097,33.3045,26.8026,0.9612,11.7855,,,,,,,,
2.027,2.006,2.628318,-1.8094,33.3056,26.8034,0.99,11.7817,,,,,,,,
2.065,2.044,2.628584,-1.8085,33.3083,26.8057,0.9986,11.7779,,,,,,,,
2.105,2.084,2.628704,-1.8085,33.3098,26.8069,0.9986,11.7735,,,,,,,,
2.142,2.12,2.628635,-1.8096,33.3101,26.8072,0.983,11.7652,,,,,,,,
2.177,2.155,2.628399,-1.8112,33.3086,26.806,0.9926,11.7685,,,,,,,,
2.208,2.186,2.628353,-1.8125,33.3094,26.8067,1.003,11.7703,,,,,,,,
2.232,2.209,2.628431,-1.8131,33.3112,26.8081,1.0035,11.7634,,,,,,,,
2.252,2.229,2.628359,-1.8142,33.3115,26.8083,1.0028,11.7602,,,,,,,,
2.276,2.253,2.628276,-1.8153,33.3115,26.8085,1.0191,11.7607,,,,,,,,
2.303,2.281,2.628371,-1.8157,33.3132,26.8098,1.0284,11.7559,,,,,,,,
2.337,2.313,2.628632,-1.815,33.3162,26.8122,1.0153,11.7506,,,,,,,,
2.374,2.35,2.628953,-1.8137,33.3191,26.8146,0.9958,11.7488,,,,,,,,
2.419,2.394,2.629164,-1.8121,33.3202,26.8154,1,11.7449,,,,,,,,
2.468,2.444,2.629326,-1.8108,33.3209,26.816,1.0172,11.7392,,,,,,,,
2.518,2.492,2.629348,-1.8107,33.3211,26.8162,1.0294,11.7403,,,,,,,,
2.565,2.539,2.629195,-1.8123,33.3207,26.8158,1.0399,11.7389,,,,,,,,
2.612,2.585,2.629183,-1.814,33.3224,26.8173,1.0505,11.7343,,,,,,,,
2.66,2.633,2.629367,-1.8143,33.3254,26.8196,1.0295,11.7367,,,,,,,,
2.709,2.681,2.629596,-1.8139,33.328,26.8218,1.0415,11.7371,,,,,,,,
2.758,2.729,2.629729,-1.8137,33.3296,26.8231,1.0568,11.7344,,,,,,,,
2.809,2.78,2.629745,-1.814,33.3302,26.8235,1.0206,11.731,,,,,,,,
2.861,2.833,2.629759,-1.8143,33.3307,26.824,1.0158,11.7301,,,,,,,,
2.914,2.885,2.629858,-1.8141,33.3319,26.8249,1.035,11.7274,,,,,,,,
2.965,2.935,2.629942,-1.8138,33.3327,26.8255,0.9931,11.7273,,,,,,,,
3.016,2.986,2.630009,-1.8138,33.3335,26.8263,1.0073,11.724,,,,,,,,
3.07,3.039,2.630092,-1.8138,33.3346,26.8272,1.0617,11.7245,,,,,,,,
3.125,3.093,2.630228,-1.8133,33.336,26.8283,1.0829,11.721,,,,,,,,
3.183,3.151,2.630478,-1.8124,33.3383,26.8302,1.1025,11.7213,,,,,,,,
3.244,3.211,2.630712,-1.8116,33.3406,26.832,1.0906,11.7178,,,,,,,,
3.309,3.276,2.630885,-1.811,33.3423,26.8333,1.0561,11.7189,,,,,,,,
3.373,3.34,2.63104,-1.8106,33.344,26.8348,1.0293,11.721,,,,,,,,
3.437,3.402,2.631042,-1.8109,33.3443,26.8351,1.0271,11.7165,,,,,,,,
3.503,3.467,2.630943,-1.8119,33.344,26.8348,1.0287,11.7181,,,,,,,,
3.567,3.531,2.630976,-1.812,33.3447,26.8353,1.0159,11.716,,,,,,,,
3.628,3.591,2.631029,-1.8121,33.3455,26.8359,1.0379,11.7172,,,,,,,,
3.687,3.649,2.630993,-1.8128,33.3456,26.8362,1.0444,11.7177,,,,,,,,
3.745,3.707,2.63091,-1.8136,33.3453,26.8359,1.0355,11.7154,,,,,,,,
3.805,3.766,2.630928,-1.8136,33.3456,26.8361,1.0399,11.7159,,,,,,,,
3.865,3.827,2.631205,-1.8123,33.3481,26.838,1.0211,11.7144,,,,,,,,
3.928,3.889,2.631583,-1.8104,33.351,26.8405,1.005,11.7122,,,,,,,,
3.994,3.954,2.632052,-1.8081,33.355,26.8436,1.0182,11.7075,,,,,,,,
4.063,4.021,2.63251,-1.8059,33.3588,26.8466,1.0329,11.7093,,,,,,,,
4.133,4.091,2.632745,-1.8047,33.3607,26.8482,1.0641,11.7078,,,,,,,,
4.202,4.159,2.632807,-1.8049,33.3616,26.849,1.0906,11.7084,,,,,,,,
4.271,4.228,2.632788,-1.8056,33.3622,26.8494,1.0806,11.7054,,,,,,,,
4.338,4.294,2.632891,-1.806,33.364,26.8509,1.0616,11.7068,,,,,,,,
4.405,4.361,2.633106,-1.8058,33.3667,26.8531,1.0603,11.7076,,,,,,,,
4.472,4.426,2.633188,-1.806,33.3682,26.8543,1.0839,11.7057,,,,,,,,
4.535,4.489,2.633176,-1.807,33.3691,26.855,1.094,11.7054,,,,,,,,
4.592,4.546,2.633067,-1.8085,33.3692,26.8552,1.1164,11.7056,,,,,,,,
4.64,4.594,2.632794,-1.811,33.368,26.8544,1.1403,11.7025,,,,,,,,
4.686,4.639,2.632384,-1.8142,33.3661,26.8528,1.1156,11.705,,,,,,,,
4.734,4.686,2.632284,-1.8161,33.3667,26.8533,1.0799,11.7091,,,,,,,,
4.782,4.734,2.632591,-1.8161,33.371,26.8568,1.0514,11.7001,,,,,,,,
4.83,4.781,2.632894,-1.8158,33.3748,26.8599,1.0415,11.7,,,,,,,,
4.877,4.828,2.633015,-1.8158,33.3765,26.8613,1.0305,11.7007,,,,,,,,
4.925,4.875,2.633045,-1.816,33.3772,26.8618,1.0279,11.7015,,,,,,,,
4.971,4.921,2.63317,-1.816,33.3788,26.8631,0.9991,11.6991,,,,,,,,
5.02,4.969,2.633344,-1.8156,33.3808,26.8648,0.97,11.6984,,,,,,,,
5.071,5.019,2.633731,-1.8152,33.3856,26.8687,0.9999,11.6976,,,,,,,,
5.124,5.072,2.634259,-1.8147,33.3924,26.8743,1.0573,11.6929,,,,,,,,
5.176,5.123,2.634578,-1.8146,33.3968,26.8778,1.0975,11.6915,,,,,,,,
5.228,5.175,2.63477,-1.8148,33.3995,26.88,1.1147,11.6892,,,,,,,,
5.28,5.226,2.635077,-1.815,33.4041,26.8837,1.0729,11.689,,,,,,,,
5.328,5.274,2.635365,-1.8155,33.4086,26.8875,1.0701,11.686,,,,,,,,
5.376,5.322,2.635559,-1.8163,33.4123,26.8903,1.0988,11.6858,,,,,,,,
5.424,5.369,2.635681,-1.8172,33.4149,26.8926,1.0744,11.6847,,,,,,,,
5.474,5.418,2.635966,-1.8174,33.4191,26.8959,1.0558,11.6829,,,,,,,,
5.528,5.472,2.636325,-1.8173,33.424,26.8999,1.0541,11.681,,,,,,,,
5.582,5.526,2.636626,-1.8172,33.428,26.9032,1.0904,11.6787,,,,,,,,
5.635,5.578,2.63682,-1.8173,33.4308,26.9055,1.0767,11.6809,,,,,,,,
