Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E09,,,,,,,,,,,,,,
Date:,5/17/2015,,,,,,,,,,,,,,
Time (ADST):,18:56,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.594,1.578,2.626916,-1.8132,33.2905,26.7914,2.9203,11.6675,,,,,,,,
1.648,1.631,2.62997,-1.8178,33.3383,26.8303,2.3088,11.6621,,,,,,,,
1.698,1.68,2.631658,-1.8212,33.3656,26.8526,1.7706,11.6603,,,,,,,,
1.742,1.724,2.632344,-1.8232,33.3774,26.8622,1.5315,11.6578,,,,,,,,
1.784,1.765,2.632569,-1.8243,33.3818,26.8658,1.4235,11.6575,,,,,,,,
1.825,1.807,2.632632,-1.8249,33.3834,26.867,1.3961,11.653,,,,,,,,
1.869,1.85,2.632661,-1.8251,33.384,26.8676,1.4251,11.6522,,,,,,,,
1.911,1.892,2.632694,-1.8251,33.3844,26.868,1.433,11.652,,,,,,,,
1.95,1.93,2.632724,-1.8249,33.3846,26.8681,1.4198,11.6502,,,,,,,,
1.989,1.969,2.63276,-1.8247,33.3848,26.8682,1.3827,11.6507,,,,,,,,
2.03,2.009,2.632788,-1.8245,33.3849,26.8683,1.397,11.6488,,,,,,,,
2.074,2.053,2.63282,-1.8243,33.3851,26.8685,1.4175,11.6494,,,,,,,,
2.115,2.093,2.632826,-1.8243,33.3852,26.8685,1.4055,11.6523,,,,,,,,
2.146,2.124,2.632775,-1.8249,33.3852,26.8685,1.3942,11.6503,,,,,,,,
2.175,2.152,2.632663,-1.8261,33.3849,26.8684,1.3642,11.6497,,,,,,,,
2.207,2.184,2.632573,-1.827,33.3847,26.8682,1.3456,11.6509,,,,,,,,
2.242,2.219,2.632592,-1.8271,33.385,26.8685,1.3457,11.6514,,,,,,,,
2.28,2.257,2.632645,-1.8267,33.3853,26.8687,1.3262,11.6501,,,,,,,,
2.324,2.301,2.632687,-1.8264,33.3855,26.8689,1.3574,11.6523,,,,,,,,
2.375,2.351,2.632752,-1.8259,33.3858,26.8691,1.3522,11.6468,,,,,,,,
2.426,2.402,2.632817,-1.8253,33.386,26.8693,1.3216,11.6474,,,,,,,,
2.475,2.45,2.63283,-1.8253,33.3861,26.8693,1.3258,11.6474,,,,,,,,
2.523,2.498,2.63281,-1.8256,33.3862,26.8694,1.293,11.6469,,,,,,,,
2.572,2.547,2.632809,-1.8258,33.3864,26.8695,1.3438,11.6457,,,,,,,,
2.623,2.597,2.632855,-1.8256,33.3867,26.8699,1.3779,11.6413,,,,,,,,
2.672,2.644,2.6329,-1.8254,33.3871,26.8702,1.3784,11.6431,,,,,,,,
2.715,2.687,2.632874,-1.8258,33.3871,26.8702,1.3813,11.6441,,,,,,,,
2.759,2.731,2.632832,-1.8263,33.3871,26.8702,1.3928,11.6412,,,,,,,,
2.81,2.781,2.632827,-1.8266,33.3874,26.8704,1.4086,11.6404,,,,,,,,
2.865,2.837,2.632909,-1.8262,33.3881,26.8709,1.4636,11.6408,,,,,,,,
2.919,2.89,2.633019,-1.8257,33.3889,26.8716,1.4828,11.6411,,,,,,,,
2.971,2.941,2.633075,-1.8254,33.3894,26.872,1.4498,11.639,,,,,,,,
3.027,2.995,2.633114,-1.8253,33.3897,26.8723,1.4015,11.6421,,,,,,,,
3.086,3.055,2.633179,-1.8251,33.3903,26.8728,1.3572,11.6384,,,,,,,,
3.14,3.107,2.63324,-1.8249,33.3911,26.8733,1.3036,11.6392,,,,,,,,
3.186,3.154,2.63322,-1.8253,33.3912,26.8734,1.2714,11.6407,,,,,,,,
3.229,3.197,2.633163,-1.826,33.3911,26.8734,1.2914,11.6389,,,,,,,,
3.278,3.245,2.633156,-1.8263,33.3913,26.8736,1.3162,11.6392,,,,,,,,
