"E_km","N_km","Area_km2","Lon","Lat","Include","depth"
720.685529920847,7741.77182189359,13.719616,-141.295546917286,69.6913892718347,0,6.99844074249268
728.093529920847,7741.77182189359,13.719616,-141.105306535875,69.6850938546344,0,14.0490465164185
731.797529920847,7741.77182189359,13.719616,-141.010232043937,69.6818690938047,0,17.6568813323975
713.277529920847,7745.47582189359,13.719616,-141.477271422425,69.7305407028023,0,10.3181343078613
716.981529920847,7745.47582189359,13.719616,-141.381930132883,69.7275161989656,0,13.633749961853
720.685529920847,7745.47582189359,13.719616,-141.286618174792,69.7244401633392,0,15.74977684021
724.389529920847,7745.47582189359,13.719616,-141.191336029995,69.7213126234573,0,17.8415412902832
728.093529920847,7745.47582189359,13.719616,-141.096084179399,69.7181336072987,0,20.3224754333496
731.797529920847,7745.47582189359,13.719616,-141.000863102953,69.7149031432856,0,23.472354888916
709.573529920847,7749.17982189359,13.719616,-141.564125952366,69.7665799853902,0,11.8353605270386
713.277529920847,7749.17982189359,13.719616,-141.468608023257,69.7636017678276,0,17.4121170043945
716.981529920847,7749.17982189359,13.719616,-141.373119083729,69.7605719014708,0,18.9753322601318
720.685529920847,7749.17982189359,13.719616,-141.277659618846,69.7574904135343,0,19.2683219909668
724.389529920847,7749.17982189359,13.719616,-141.182230112744,69.7543573316808,0,23.7448844909668
728.093529920847,7749.17982189359,13.719616,-141.08683104861,69.7511726840189,0,26.0659084320068
731.797529920847,7749.17982189359,13.719616,-140.991462908669,69.7479364991027,0,27.8838500976562
735.501529920847,7749.17982189359,13.719616,-140.896126174174,69.7446488059303,0,28.4538345336914
698.461529920847,7752.88382189359,13.719616,-141.842750359066,69.808285548832,0,6.74790334701538
702.165529920847,7752.88382189359,13.719616,-141.746999692353,69.8054574187008,0,10.4594039916992
705.869529920847,7752.88382189359,13.719616,-141.651276689406,69.8025774702691,0,14.4545927047729
709.573529920847,7752.88382189359,13.719616,-141.555581840336,69.799645729524,0,19.636137008667
713.277529920847,7752.88382189359,13.719616,-141.459915634357,69.7966622229051,0,21.0121803283691
716.981529920847,7752.88382189359,13.719616,-141.364278559773,69.7936269773036,0,25.260160446167
720.685529920847,7752.88382189359,13.719616,-141.268671103963,69.7905400200615,0,26.4300479888916
724.389529920847,7752.88382189359,13.719616,-141.173093753365,69.7874013789697,0,29.4307727813721
728.093529920847,7752.88382189359,13.719616,-141.077546993464,69.7842110822678,0,30
731.797529920847,7752.88382189359,13.719616,-140.982031308776,69.7809691586427,0,29
735.501529920847,7752.88382189359,13.719616,-140.886547182833,69.7776756372273,0,30
691.053529920847,7756.58782189359,13.719616,-142.026505848714,69.8468765677128,0,8.31715774536133
694.757529920847,7756.58782189359,13.719616,-141.930551884593,69.844147298892,0,12.229907989502
698.461529920847,7756.58782189359,13.719616,-141.834624732385,69.8413660700888,0,16.635591506958
702.165529920847,7756.58782189359,13.719616,-141.73872488631,69.8385329064997,1,19.8960781097412
705.869529920847,7756.58782189359,13.719616,-141.642852839716,69.8356478337776,0,21.9248943328857
709.573529920847,7756.58782189359,13.719616,-141.547009085063,69.8327108780312,0,23.0425186157227
713.277529920847,7756.58782189359,13.719616,-141.451194113907,69.8297220658238,0,27.7794437408447
716.981529920847,7756.58782189359,13.719616,-141.355408416887,69.826681424172,0,29.4778461456299
720.685529920847,7756.58782189359,13.719616,-141.259652483707,69.8235889805454,0,30.924596786499
724.389529920847,7756.58782189359,13.719616,-141.163926803127,69.8204447628645,0,32.0950698852539
728.093529920847,7756.58782189359,13.719616,-141.068231862942,69.8172487995007,0,31.2502174377441
731.797529920847,7756.58782189359,13.719616,-140.972568149971,69.8140011192744,0,30.7945423126221
735.501529920847,7756.58782189359,13.719616,-140.876936150043,69.8107017514543,0,31.695873260498
739.205529920847,7756.58782189359,13.719616,-140.78133634798,69.8073507257561,0,33.9663581848145
687.349529920847,7760.29182189359,13.719616,-142.114783010715,69.8826484233526,0,11.3351764678955
691.053529920847,7760.29182189359,13.719616,-142.018652661496,69.8799663640536,0,13.6559267044067
694.757529920847,7760.29182189359,13.719616,-141.922548758578,69.8772322285694,0,19.7899284362793
698.461529920847,7760.29182189359,13.719616,-141.826471799425,69.8744460417548,0,21.4862899780273
702.165529920847,7760.29182189359,13.719616,-141.730422280638,69.8716078289244,1,23.7793235778809
705.869529920847,7760.29182189359,13.719616,-141.634400697936,69.8687176158514,0,27.1573925018311
709.573529920847,7760.29182189359,13.719616,-141.538407546141,69.8657754287666,0,29.3084735870361
713.277529920847,7760.29182189359,13.719616,-141.442443319167,69.8627812943576,0,31.7326393127441
716.981529920847,7760.29182189359,13.719616,-141.346508510002,69.8597352397676,0,33.9777069091797
720.685529920847,7760.29182189359,13.719616,-141.250603610693,69.8566372925943,0,34
724.389529920847,7760.29182189359,13.719616,-141.154729112332,69.8534874808891,0,35
728.093529920847,7760.29182189359,13.719616,-141.05888550504,69.8502858331554,0,34.5381851196289
731.797529920847,7760.29182189359,13.719616,-140.963073277956,69.8470323783484,0,34.9048385620117
735.501529920847,7760.29182189359,13.719616,-140.867292919218,69.8437271458733,0,37.1206932067871
739.205529920847,7760.29182189359,13.719616,-140.771544915949,69.8403701655842,0,38.2565422058105
679.941529920847,7763.99582189359,13.719616,-142.299693501366,69.9209595869549,0,8.19026184082031
683.645529920847,7763.99582189359,13.719616,-142.203360935335,69.9183771463596,0,13.1789064407349
687.349529920847,7763.99582189359,13.719616,-142.107053943637,69.91574248928,0,15.1744785308838
691.053529920847,7763.99582189359,13.719616,-142.010773027835,69.9130556397615,0,20.4560222625732
