From Logsheet,,,,,,mM,mM,mM,mM,mM
Station,Cast #,Niskin #,Act Depth (m),NUT #,Notes,PO4,SIO4,N+N,NO2,NH4
70-142,1,1,,,bottle #1 is lacking a washer (not cocked),,,,,
70-142,1,2,62,,,,,,,
70-142,1,3,62,39,,0.92,3.60,0.53,0.00,0.00
70-142,1,4,27,,,,,,,
70-142,1,5,27,40,,0.58,3.34,1.85,0.12,1.44
70-142,1,6,2,33,,0.54,5.07,0.69,0.00,0.00
70-143,1,1,,,,,,,,
70-143,1,2,50.6,,,,,,,
70-143,1,3,50.6,34,,0.61,4.38,0.75,0.04,0.00
70-143,1,4,31.42,,chl. max,,,,,
70-143,1,5,31.42,35,,0.89,4.91,2.35,0.20,2.82
70-143,1,6,1.7,36,,0.74,2.06,0.64,0.00,0.87
70-145,1,1,43.2,,Pete S. fixed bottle (and found washer),,,,,
70-145,1,2,43.2,37,,0.60,5.40,0.45,0.00,1.03
70-145,1,3,22.8,,,,,,,
70-145,1,4,22.8,38,chl. max,1.38,9.49,4.60,0.09,1.05
70-145,1,5,1.8 db,,,,,,,
70-145,1,6,1.7 db,41,,0.49,2.85,0.90,0.00,0.74
71-145,1,1,90.3,,,,,,,
71-145,1,2,90.3,42,,0.00,5.59,0.44,0.00,0.00
71-145,1,3,59.8,,chl. max,,,,,
71-145,1,4,59.8,43,,0.82,9.35,5.27,0.13,2.01
71-145,1,5,2.0 db,,,,,,,
71-145,1,6,2.0 db,44,,0.93,9.85,5.62,0.07,0.00
71-146,1,1,300m,,,,,,,
71-146,1,2,300,45,,0.00,3.62,1.20,0.00,1.19
71-146,1,3,69,46,chlorophlyll max,0.64,7.07,12.09,0.00,0.65
71-146,1,4,69,,,,,,,
71-146,1,5,1.4,,,,,,,
71-146,1,6,1.4,47,,0.89,9.38,6.09,0.09,0.53
71-147,1,1,96.4,,,,,,,
71-147,1,2,96.4,49,deepest,1.45,10.26,4.32,0.08,0.55
71-147,1,3,45.6,,,,,,,
71-147,1,4,45.6,48,chlorophyll max,0.00,6.31,0.49,0.00,0.00
71-147,1,5,2.0db,,,,,,,
71-147,1,6,,50,surface,1.05,14.76,6.13,0.05,0.68
71-149,1,1,64.25,,,,,,,
71-149,1,2,64.25,51,bottom,0.77,5.14,0.59,0.00,0.43
71-149,1,3,38.1,,,,,,,
71-149,1,4,38.1,52,chl. Max,0.67,8.74,3.16,0.06,2.05
71-149,1,5,2.4,,,,,,,
71-149,1,6,2.4,53,surface,0.94,5.21,1.46,0.00,0.93
71-150,1,1,16.6,7,,0.00,3.19,0.46,0.00,0.85
71-150,1,2,16.6,,,0.75,3.70,0.47,0.04,1.12
71-150,1,3,10.9,,chlorophyll max,,,,,
71-150,1,4,10.9,8,,0.00,3.08,0.00,0.00,0.63
71-150,1,5,2.2,,,,,,,
71-150,1,6,2.2,9,,0.00,4.65,0.00,0.00,0.00
