"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2004,1,1,9665.49297308061,1.12768852287358,10899.6654936583
2005,1,1,991.29724390921,1.06203354915929,1052.79093022072
2006,1,1,991.29724390921,1.06203354915929,1052.79093022072
2007,1,1,6994.9292043436,0.554336213042968,3877.54256563949
2008,1,1,1598.9044921395,0.856806322869595,1369.95147852972
2009,1,1,637.751299090035,1.0313989866812,657.776043636081
2010,1,1,991.29724390921,1.06203354915929,1052.79093022072
2011,1,1,991.29724390921,1.06203354915929,1052.79093022072
2012,1,1,867.67078137995,0.567423334273317,492.33664782215
2013,1,1,991.29724390921,1.06203354915929,1052.79093022072
2014,1,1,991.29724390921,1.06203354915929,1052.79093022072
2015,1,1,991.29724390921,1.06203354915929,1052.79093022072
2016,1,1,991.29724390921,1.06203354915929,1052.79093022072
2017,1,1,1315.54329761582,0.405371827677417,533.2841909433
2018,1,1,991.29724390921,1.06203354915929,1052.79093022072
2019,1,1,4648.00941541184,0.411940611743654,1914.70384197501
