"gear","common_name","Omega1","Omega2","Epsilon1","Epsilon2","status","max_grad","rrmse","aic"
"beam","Arctic cod",1,1,0,1,"confirm_gradient",2.35029773421047e-11,1.36,1408.20217184522
"beam","Bering flounder",1,1,0,1,"confirm_gradient",5.34483568515043e-12,2.09,1023.00118264207
"beam","saffron cod",1,1,0,1,"confirm_gradient",3.13437620248682e-09,2.249,450.465722400025
"beam","snow crab",1,1,0,1,"confirm_gradient",8.7894235001329e-08,2.107,2103.49625165336
"beam","yellowfin sole",1,1,0,1,NA,NA,NA,NA
"beam","Arctic cod",0,0,1,1,"confirm_gradient",2.3666153481372e-09,1.264,1415.16339575943
"beam","Bering flounder",0,0,1,1,NA,NA,NA,NA
"beam","saffron cod",0,0,1,1,NA,NA,NA,NA
"beam","snow crab",0,0,1,1,"confirm_gradient",7.36445038285183e-08,2.149,2108.46746374077
"beam","yellowfin sole",0,0,1,1,NA,NA,NA,NA
"beam","Arctic cod",1,0,1,1,"confirm_gradient",1.99486574575141,1.002,1406.49561602912
"beam","Bering flounder",1,0,1,1,NA,NA,NA,NA
"beam","saffron cod",1,0,1,1,"confirm_gradient",9.3152010549602e-09,1.576,455.936089768921
"beam","snow crab",1,0,1,1,"confirm_gradient",5.88336490636721e-10,2.14,2109.34623720812
"beam","yellowfin sole",1,0,1,1,NA,NA,NA,NA
"beam","Arctic cod",0,1,1,1,"confirm_gradient",4.41882086477108e-11,1.274,1415.42579248144
"beam","Bering flounder",0,1,1,1,"confirm_gradient",6.15657524960511e-12,2.381,1032.97338366449
"beam","saffron cod",0,1,1,1,"confirm_gradient",4.56878979093744e-12,1.982,467.116706829426
"beam","snow crab",0,1,1,1,"confirm_gradient",1.2007438598971e-08,2.084,2102.52651066243
"beam","yellowfin sole",0,1,1,1,NA,NA,NA,NA
"beam","Arctic cod",1,1,1,1,NA,NA,NA,NA
"beam","Bering flounder",1,1,1,1,"confirm_gradient",7.25376425592117e-11,2.09,1025.00118264204
"beam","saffron cod",1,1,1,1,"confirm_gradient",7.27049254134471e-11,2.249,452.465722395948
"beam","snow crab",1,1,1,1,"confirm_gradient",4.98752772415401e-09,2.08,2104.41241467559
"beam","yellowfin sole",1,1,1,1,NA,NA,NA,NA
