"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,81988.1808347289,0.341560622838533,28003.9341113081
1991,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1992,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1993,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1994,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1995,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1996,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1997,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1998,1,1,3549.92922889368,1.7281257193973,6134.72400249138
1999,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2000,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2001,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2002,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2003,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2004,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2005,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2006,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2007,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2008,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2009,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2010,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2011,1,1,3549.92922889368,1.7281257193973,6134.72400249138
2012,1,1,118587.261376095,0.297400901535872,35267.9584439208
