"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,169.599497649577,0.905689125036723,153.604420632914
1991,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1992,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1993,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1994,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1995,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1996,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1997,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1998,1,1,2270.99735591315,1.89569633336339,4305.12136068251
1999,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2000,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2001,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2002,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2003,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2004,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2005,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2006,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2007,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2008,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2009,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2010,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2011,1,1,2270.99735591315,1.89569633336339,4305.12136068251
2012,1,1,2625.54041009022,0.387698854745487,1017.91901007998
