"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2012,1,1,3293.78257224532,0.917360678801292,3021.58661629884
2013,1,1,6984.25966734185,1.67159171757188,11674.8306133
2014,1,1,6984.25966734185,1.67159171757188,11674.8306133
2015,1,1,6984.25966734185,1.67159171757188,11674.8306133
2016,1,1,6984.25966734185,1.67159171757188,11674.8306133
2017,1,1,7712.55938920016,1.08694124281908,8383.0988878132
2018,1,1,6984.25966734185,1.67159171757188,11674.8306133
2019,1,1,5013.28654684416,0.984510814902425,4935.63482357292
