"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",175042.89714327,0.453446085636553,79372.5165280974
"1991"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1992"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1993"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1994"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1995"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1996"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1997"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1998"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"1999"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2000"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2001"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2002"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2003"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2004"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2005"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2006"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2007"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2008"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2009"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2010"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2011"," [kg]",364680.063180628,0.479170216180306,174743.824710909
"2012"," [kg]",30370.2969882661,0.235414836441783,7149.61849818102
