"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,115.796064116169,0.312456276530596,36.1812070306365
1991,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1992,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1993,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1994,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1995,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1996,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1997,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1998,1,1,1173.78505955928,0.878177708481677,1030.7918738538
1999,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2000,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2001,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2002,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2003,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2004,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2005,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2006,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2007,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2008,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2009,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2010,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2011,1,1,1173.78505955928,0.878177708481677,1030.7918738538
2012,1,1,47.2945269615737,0.375367351300957,17.7528213165976
