"common_name","Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","status","max_grad","rrmse","aic"
"walleye pollock",0,1,0,0,"FALSE","confirm_gradient",1.95163046834423e-09,4.728,306.771984320961
"yellowfin sole",0,1,0,0,"FALSE","confirm_gradient",2.39307240690323e-10,3.733,336.168262588853
"Alaska plaice",1,1,0,0,"FALSE",NA,NA,NA,NA
"Arctic cod",1,1,0,0,"FALSE",NA,NA,NA,NA
"Bering flounder",1,1,0,0,"FALSE","confirm_gradient",3.92404553295478e-09,1.065,665.9112812022
"Pacific cod",1,1,0,0,"FALSE",NA,NA,NA,NA
"saffron cod",1,1,0,0,"FALSE","confirm_gradient",4.2171785397116e-08,3.303,581.959706751137
"snow crab",1,1,0,0,"FALSE",NA,NA,NA,NA
"walleye pollock",1,1,0,0,"FALSE","confirm_gradient",3.61421426120501e-09,4.027,299.728964411595
"yellowfin sole",1,1,0,0,"FALSE","confirm_gradient",5.98568032350192e-08,2.064,303.454007540472
"Alaska plaice",0,0,1,0,"FALSE","confirm_gradient",8.39099456584336e-09,1.859,238.74280085402
"Arctic cod",0,0,1,0,"FALSE","confirm_gradient",1.45634215797941e-08,1.035,1677.85407314767
"Bering flounder",0,0,1,0,"FALSE","confirm_gradient",2.24025482609136e-08,0.959,708.758661274336
"Pacific cod",0,0,1,0,"FALSE","confirm_gradient",6.58766463910231,1.74,178.538580810405
"saffron cod",0,0,1,0,"FALSE","confirm_gradient",3.21769277888961e-09,1.553,570.501942835195
"snow crab",0,0,1,0,"FALSE","confirm_gradient",6.70222037868484e-08,0.883,1761.52321019378
"walleye pollock",0,0,1,0,"FALSE",NA,NA,NA,NA
"yellowfin sole",0,0,1,0,"FALSE","confirm_gradient",4.181761120714e-08,1.88,306.35709489695
"Alaska plaice",1,0,1,0,"FALSE","confirm_gradient",2.92259594303346e-08,2.03,236.711480703268
"Arctic cod",1,0,1,0,"FALSE","confirm_gradient",6.77589984121596e-10,1.035,1679.85407312846
"Bering flounder",1,0,1,0,"FALSE","confirm_gradient",1.74971148680925e-12,1.018,693.075011640761
"Pacific cod",1,0,1,0,"FALSE",NA,NA,NA,NA
"saffron cod",1,0,1,0,"FALSE","confirm_gradient",3.54813067815485e-09,1.466,571.784210479888
"snow crab",1,0,1,0,"FALSE","confirm_gradient",3.83183489383043e-08,0.903,1761.14412041784
"walleye pollock",1,0,1,0,"FALSE",NA,NA,NA,NA
