"region","gear","common_name","Omega1","Epsilon1","Omega2","Epsilon2","obs_model","status","max_grad","rrmse","aic"
"chukchi","otter","snailfishes",0,0,0,0,"PosLink","confirm_gradient",1.90754850498004e-10,2.696,731.478950109798
"chukchi","otter","snailfishes",1,0,0,0,"PosLink","confirm_gradient",9.54847312328866e-10,1.315,668.08390285372
"chukchi","otter","snailfishes",0,1,0,0,"PosLink","confirm_gradient",2.70777178457138e-10,1.286,678.30168331827
"chukchi","otter","snailfishes",1,1,0,0,"PosLink","confirm_gradient",9.00968188943807e-12,1.315,670.083902850391
"chukchi","otter","snailfishes",0,0,1,0,"PosLink","confirm_gradient",1.35094149200654e-08,2.029,686.753417126957
"chukchi","otter","snailfishes",1,0,1,0,"PosLink","confirm_gradient",2.28638679544702e-07,1.523,665.600554718414
"chukchi","otter","snailfishes",0,1,1,0,"PosLink","confirm_gradient",4.22364365704198e-11,1.557,670.835273497014
"chukchi","otter","snailfishes",1,1,1,0,"PosLink","confirm_gradient",2.03234956641651e-08,1.523,667.600554652563
"chukchi","otter","snailfishes",0,0,0,1,"PosLink","confirm_gradient",1.88021043179276e-10,2.036,692.377754624613
"chukchi","otter","snailfishes",1,0,0,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","snailfishes",0,1,0,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","snailfishes",1,1,0,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","snailfishes",0,0,1,1,"PosLink","confirm_gradient",2.51112944882337e-08,2.029,688.753417134274
"chukchi","otter","snailfishes",1,0,1,1,"PosLink","confirm_gradient",2.28235508270558e-09,1.523,667.600554718814
"chukchi","otter","snailfishes",0,1,1,1,"PosLink","confirm_gradient",2.53215802659135e-07,1.557,672.835273523859
"chukchi","otter","snailfishes",1,1,1,1,"PosLink","confirm_gradient",8.53874608797156e-08,1.523,669.600554617246
"chukchi","otter","snailfishes",0,0,0,0,"Log_Delta","confirm_gradient",1.89307938388611e-11,2.71,707.073906191882
"chukchi","otter","snailfishes",1,0,0,0,"Log_Delta","confirm_gradient",1.09843192319659e-08,2.629,694.713683493148
"chukchi","otter","snailfishes",0,1,0,0,"Log_Delta","confirm_gradient",2.34380208574692e-07,2.653,695.002523187883
"chukchi","otter","snailfishes",1,1,0,0,"Log_Delta","confirm_gradient",8.49604830932549e-11,2.639,696.229498041772
"chukchi","otter","snailfishes",0,0,1,0,"Log_Delta","confirm_gradient",5.5700461335652e-12,2.087,690.117491445444
"chukchi","otter","snailfishes",1,0,1,0,"Log_Delta","confirm_gradient",1.62057310090189e-09,1.907,677.757268722495
"chukchi","otter","snailfishes",0,1,1,0,"Log_Delta","confirm_gradient",5.45039569033179e-11,1.959,678.046108547605
"chukchi","otter","snailfishes",1,1,1,0,"Log_Delta","confirm_gradient",3.18647330743715e-11,1.929,679.273083295189
"chukchi","otter","snailfishes",0,0,0,1,"Log_Delta","confirm_gradient",1.86763948448808e-10,2.089,695.042598399086
"chukchi","otter","snailfishes",1,0,0,1,"Log_Delta","confirm_gradient",3.75461134405342e-09,1.907,682.682375680364
"chukchi","otter","snailfishes",0,1,0,1,"Log_Delta","confirm_gradient",8.50466363999658e-11,1.963,682.97121550225
"chukchi","otter","snailfishes",1,1,0,1,"Log_Delta","confirm_gradient",1.96276567221432e-09,1.931,684.198190249219
"chukchi","otter","snailfishes",0,0,1,1,"Log_Delta","confirm_gradient",1.5339126350672e-10,2.087,692.117491445453
"chukchi","otter","snailfishes",1,0,1,1,"Log_Delta","confirm_gradient",4.33487135076405e-11,1.907,679.757268722045
"chukchi","otter","snailfishes",0,1,1,1,"Log_Delta","confirm_gradient",5.51806600412874e-10,1.959,680.046108548231
"chukchi","otter","snailfishes",1,1,1,1,"Log_Delta","confirm_gradient",3.32418093051956e-10,1.929,681.273083294829
"chukchi","otter","snailfishes",0,0,0,0,"Gamma_Delta","confirm_gradient",8.14586613427158e-13,2.696,731.478950109798
"chukchi","otter","snailfishes",1,0,0,0,"Gamma_Delta","confirm_gradient",6.98493360928865e-08,2.604,719.118727342057
"chukchi","otter","snailfishes",0,1,0,0,"Gamma_Delta","confirm_gradient",3.02135336305298e-07,2.633,719.40756788521
"chukchi","otter","snailfishes",1,1,0,0,"Gamma_Delta","confirm_gradient",1.12901806792465e-08,2.616,720.634541970179
"chukchi","otter","snailfishes",0,0,1,0,"Gamma_Delta","confirm_gradient",5.45259115636298e-10,2.029,686.753417104669
"chukchi","otter","snailfishes",1,0,1,0,"Gamma_Delta","confirm_gradient",2.47658588081734e-08,1.823,674.393194410634
"chukchi","otter","snailfishes",0,1,1,0,"Gamma_Delta","confirm_gradient",8.14433864793074e-09,1.885,674.682034222264
"chukchi","otter","snailfishes",1,1,1,0,"Gamma_Delta","confirm_gradient",4.75068873129203e-11,1.849,675.909008951716
"chukchi","otter","snailfishes",0,0,0,1,"Gamma_Delta","confirm_gradient",1.39368343532453e-08,2.036,692.377754661215
"chukchi","otter","snailfishes",1,0,0,1,"Gamma_Delta","confirm_gradient",2.58468801916933e-10,1.831,680.017531901845
"chukchi","otter","snailfishes",0,1,0,1,"Gamma_Delta","confirm_gradient",1.05749187184756e-10,1.895,680.306371726627
"chukchi","otter","snailfishes",1,1,0,1,"Gamma_Delta","confirm_gradient",2.1452188025961e-08,1.859,681.533345961783
"chukchi","otter","snailfishes",0,0,1,1,"Gamma_Delta","confirm_gradient",1.35674933510188e-08,2.029,688.753417102293
"chukchi","otter","snailfishes",1,0,1,1,"Gamma_Delta","confirm_gradient",7.14509562627086e-11,1.823,676.393194378761
"chukchi","otter","snailfishes",0,1,1,1,"Gamma_Delta","confirm_gradient",7.38106771258629e-08,1.885,676.682033657671
"chukchi","otter","snailfishes",1,1,1,1,"Gamma_Delta","confirm_gradient",6.12372375030645e-11,1.849,677.90900895177
