"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2012,1,1,3293.7825691196,0.917360631756444,3021.58645847592
2013,1,1,6984.25960369433,1.67159168445695,11674.830275624
2014,1,1,6984.25960369433,1.67159168445695,11674.830275624
2015,1,1,6984.25960369433,1.67159168445695,11674.830275624
2016,1,1,6984.25960369433,1.67159168445695,11674.830275624
2017,1,1,7712.55938469618,1.08694137522793,8383.09990412876
2018,1,1,6984.25960369433,1.67159168445695,11674.830275624
2019,1,1,5013.2865467136,0.984510799357721,4935.63474551431
